,categories,full_description,id,languages,name,prohibited_content,short_description,topic
161,"['academia', 'activism', 'anime', 'art', 'books', 'games', 'humor', 'journalism', 'music', 'poc', 'sports', 'tech']","We're a Mastodon Instance dedicated to Free Speech and Freedom of Press. We will not censor your posts, but we do require that all NSFW content be properly labeled as such. Bullying is not allowed at an extreme level, but we will not censor small actions. We do request, but not require, that adults be adults and are able to agree to disagree. Extended harassment from one user to another (i.e. more than three posts) will be properly moderated, this includes reverse crusading. Love you guys! Love to host your social media, have fun and enjoy! :D",5b9c65910253056367082482,['en'],tootsocial.com,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spoilers_nocw']",A Mastodon Instance dedicated to free speech and freedom of press,
162,['art'],"The instance for friendly, hopefully minimally consumerist fashion talk. Based on the culture and vibe of care-tags.org, last of the old school phpbb forums. ",5ba3c27c02530563670824a4,['en'],mastodon.care-tags.org,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A place for fashion and friends. Part of the care-tags.org family of websites,fashion and friends
163,[],"An instance for Richmond, VA. No tolerance for hate. No cops, nationalists, surveillance contractors, etc. We federate with all friendly instances and typically take Dzuk's advice on silencing/suspending instances.",5abfcd9e5ba9b96cea3ea24c,['en'],rva.party,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","Toots from Richmond, VA and around the world. Stick around for good vibes.",
164,"['academia', 'activism', 'anime', 'books', 'furry', 'games', 'lgbt', 'music', 'tech']","CNBT is a small generalist instance.
We can talk about everything, everybody is welcome!
We mostly speak French and English, but all languages are appreciated.
Come and have a good time!",5af77b08db4cc9363ece0b15,"['en', 'fr']",crazynoisybizarre.town,"['nudity_nocw', 'pornography_nocw', 'spam', 'spoilers_nocw']","We're cool, and we have cookies (when we do not eat them). LGBTQ+ folks are welcome !",
165,[],"What is kopiti.am?

From Singapore 🇸🇬 for Singaporeans by Singaporeans. But all are welcome!

This aims to be a local instance of Mastodon that primarily works as a community for Singaporeans which also participates in the greater fediverse that is Mastodon.

We adhere to Toot.cafe’s list of blocked instances.

For more info https://kopiti.am/about/more",5b710f52ba0ea153975ca201,"['zh', 'en', 'ms', 'ta']",kopiti.am,[],From Singapore 🇸🇬 for Singaporeans by Singaporeans. But all are welcome!,Singapore
166,[],This aims to be a local instance of Mastodon that primarily works as a community for Singaporeans which also participates in the greater fediverse that is Mastodon.,5b837a57e80ab079b280c166,['en'],@kopiti.am,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']",From Singapore 🇸🇬 for Singaporeans by Singaporeans.,
167,"['adult', 'anime', 'art', 'books', 'games', 'journalism', 'music', 'sports', 'tech']",Toivotamme tervetulleeksi kaikki suomalaiset Mastodon käyttäjät.,5aa18fef33571a45b3cd58b8,"['en', 'fi']",sektori.org,"['illegalContentLinks', 'spam', 'advertising']",Mastodon suomalaisille!,
168,"['adult', 'anime', 'art', 'furry', 'games', 'humor', 'music', 'tech']",卡通，和任何内容。,5acaf9dc3366f24a20cfbbd9,"['zh', 'en']",cap.moe,['pornography_all'],Cartoon and Anything.,cartoon
169,[],"An open, transparent and democratically governed decentralised social network for Africa, by Africans.",5acc4ba0384df834dcb60f66,"['af', 'en', 'nd', 'so', 'nr', 'st', 'sw', 'ss', 'ts', 'tn', 'xh', 'zu']",opensocial.africa,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']","An open, transparent and democratically governed decentralised social network for Africa, by Africans.",
170,[],"The Dharma Realm, hosted at ganesha.masto.host, is an open, friendly, diverse Instance that serves all Dharma practitioners, including (but not limited to) all forms of Buddhism, Yoga, Advaita, Hinduism, Tantra, Tao and related spiritualities, and contemporary forms of Dharma philosophy and practice. All we ask is that you bring curiosity, kindness and an open mind.",5b6f38e6ba0ea153975ca1f3,"['en', 'pi', 'sa']",ganesha.masto.host,[],"The Dharma Realm, hosted at ganesha.masto.host, serves all Dharma practitioners: Buddhism, Yoga, Advaita, and related spiritualities.",Dharma
171,['academia'],Bringing social networking in a controlled platform to our province's Education Community.,5babd08c02530563670824be,"['en', 'fr']",mastodon.nspes.ca,[],Supporting the Nova Scotia Education Community,EECD
172,[],"Az első magyar Mastodon instancia, becenevén a Nemzeti Instancia.
---------
First Hungarian Instance. Foreigners are also welcome, but beware, you won't understand much :)",59258da0a5710a01a9a09417,"['en', 'hu']",the.wired.sehol.se,"['pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']","Első, kísérleti magyar Mastodon instancia",
173,[],"You should consider this instance if:

* You value diversity of background and opinion
* You do not condone abuse and harassment
* Are at least 18 years of age
* You like wolves at least a little bit
* Being in league with the furry fandom is not strictly required - but probably helps :-)

Everyone is welcome as long as they follow our Code of Conduct.",59f065ed5726d946c6e18a5e,['en'],canislupus.im,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'spam', 'hateSpeeches', 'harrassment', 'spoilers_nocw']","You don't have to be a furry, but it certainly helps. :-3",
174,"['art', 'games', 'tech']","A Message To the Newbies!

We are very serious about keeping banana dog clean and troll-free, so please consider your account an investment and treat it accordingly. Read the rules, use common sense, and help keep banana dog the best instance on mastodon!

General Conduct

Before you post:
Before posting, please ask yourself the following question: ""Am I making a post which is either funny, informative, or interesting on any level?""

If you can answer ""yes"" to this, then please post. If you cannot, then refrain from posting. If you post anyway, the mods may censor your post.

Before you reply:
Before replying, please ask yourself the following question: ""Does my reply offer any significant advice or help contribute to the conversation in any fashion?""

If you can answer ""yes"" to this, then please reply. If you cannot, then refrain from replying.
Posting Rules

Low Content Posts:
Please do not make posts containing no content (ie, ""first post,"" ""hello, I'm new here,"" etc.). These just litter up the timeline. If you do not like a post, then just ignore it and move on; replies consisting solely of trolling fall into this category. As a general rule, write as if you were speaking in real life to another human being.

Worthless Posts:
We do not care if you are drunk or high; please do not inform us of either. Please do not post crap asking us to vote for you on some website, give you referrals for free iPods / flatscreens / spare tires, or any other semi-spam things.

Leet Haxoring:
Don't fuck with this instance or any of its users. If you post a malicious link (any URL with spyware or code designed to annoy people) you will be banned. Do not make plans to annoy / destroy other users / instances.

Stay On Target:
Try to use the appropriate hash tag for your posts. This helps people find your post and makes the instance more user friendly.
Also, Mastodon supports content warnings so please consider using them. Examples may include posting spoilers for a brand new movie, discussing something gross or maybe just containing a political rant.

Respect the Mods:
The moderators are here to keep the instance safe, sane, and secure. If they ask you to do something, please do it. Please do not harass or intentionally annoy the mods. If you do not like the mods or the moderation, feel free to contact me @debugninja@banana.dog.

Harass and Sass:
If somebody is harassing you report it to a mod or the admin. Disagreement does not constitute harassment. Please do not post others' personal information (phone number, addresses, emails, etc.). Try to stay out of other peoples' personal lives as well. Keep in mind there's a good distinction between the Internet and real life.

Account Ability:
You are solely responsible for the content posted from your account. Please secure it accordingly.

Crazy Catchall:
Please do not try to cleverly circumvent some rule listed here. These rules are general guidelines and are very flexible.

I Hate Speech:
Offensive terms such as ""faggot"" or ""nigger"" may or may not be bannable based on context of the toot. This rule is completely, 100% subjective and is based on the mod reading the post at the time. Use at your own peril.",5a8e61731496030bf4c7a99c,['en'],banana.dog,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",Officially endorsed by @Gargron as a joke instance. Also federates with instances on TOR so you can follow / talk to crypto weirdos,
175,"['academia', 'activism', 'anime', 'books', 'games', 'music', 'tech']","Welcome to the Mastodon instance of Laitues! \o/
For the moment, the main language of this instance is French, but you can all join us.
If you have any questions, our administrators will be happy to answer them.

Bienvenue sur l’instance Mastodon de Laitues ! \o/
Pour le moment, le langage principal de cette instance est le français, mais vous pouvez tous nous rejoindre.
Si vous avez des questions, nos administrateurs seront heureux de vous répondre.",5b07b04b0c3a8465be000870,"['en', 'fr']",m.laitues.net,[],"Simply a general instance, join us! / Simplement une instance générale, rejoignez-nous !",
176,['art'],"Socel aims to provide an environment where everyone involved in animation and related fields such as videogames is welcome to explore, connect, discuss, and grow. ",5b309d3485b9b91570c526fb,['en'],socel.net,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",Like animation? This is the instance for you!,animation
177,"['adult', 'anime', 'art', 'furry', 'games', 'lgbt']","A social place for bugs of all kind to fantasize about the many things larger than them!

This mastodon instance is a fetish based instance based on a various list of fetishes.
Giantess, giant, vore, crush and more!

From enthusiasts to artist, all are welcome!

Are you one of the ""tall ones""? The ones above the bugs?
You are welcome to! Come say hi, maybe even walk with us!

Just watch your step, not all of us enjoy being stepped on ;)",5b3c4dae85b9b91570c52755,['en'],bugs.social,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'spoilers_nocw']","This mastodon instance is a fetish based instance based on a various list of fetishes.
Giantess, giant, vore and more!",Size fetish
178,"['academia', 'art', 'books', 'games', 'sports', 'tech']","Fans of technology, design, gadgets, software development, Apple, Linux",5b886fcd84f4f12e01e8eef4,['en'],greenpencil.social,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']","Fans of technology, design, gadgets, software development, Apple, Linux",
179,[],Mostly English speaking instance with a focus on queer technology. ,5a3be32967eb6930d0cf73fe,['en'],queer.cloud,"['pornography_nocw', 'illegalContentLinks', 'spam']",Queer Friendly smol instace,Queer
180,['lgbt'],"Bienvenue sur l’accueil de Pipou Academy ! Nous sommes un établissement de langue principalement française et anglaise (autres langues bienvenues !) ouvert à tous les élèves pipou.
Qu’est-ce qu’un.e pipou ? Vaste et scientifique question qui n’a qu’une réponse : l’élève pipou est une personne gentille ou qui vise à l’être.
Les valeurs de notre académie :
- L’académie Pipou prône la bienveillance. Nous visons à créer un espace aussi accueillant que possible, où chaque élève se sentira à l’aise et saura qu’iel peut être ellui-même (tant que « ellui-même » n’est pas « un.e vil.e vilain.e »).
- Nous accueillons toutes les lettres du sigle LGBT+ et les alliés. Les personnes de toutes origines, opinions et orientations sont les bienvenues dans notre établissement, tant qu’elles s’efforcent de suivre notre règlement !

Welcome on Pipou Academy’s portal! We are mainly a French-speaking or English-speaking establishment, but other languages are welcome too. Our school is open to all interested pipous!
What is a pipou? A pipou is a complex creature that might be described in one sentence: someone who is either nice, either aiming to be nice.
Our values:
- Pipou Academy puts an emphasis on kindness. Our goal is to create a welcoming, laid-back space where everyone can feel at ease and be theirselves (as long as ""theirselves"" is not ""a big meanie""!).
- We welcome all the letters from the LGBT+ sigils, as well as allies. Whoever you are, you are welcome here, as long as you try to follow our rules!",5ac7aed05a17ff0254521d90,"['en', 'fr']",pipou.academy,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","This is a LGBT+ instance, which wants to be cosy and as safe as can be. Mostly FR and EN",
181,"['academia', 'activism', 'anime', 'art', 'books', 'games', 'journalism', 'music', 'poc', 'sports', 'tech']",Linux.pizza aims to be a network for developers and sysadmins,5b2c15b59ef0540526549ce9,['en'],social.linux.pizza,['spam'],A free instance about Free stuff,
182,[],Code of Conduct: https://eupublic.social/about/more,5b2c957885b9b91570c526d9,"['en', 'de']",eupublic.social,"['pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']","Dedicated to all people interested in a united Europe, a post-national and truly democratic Europe. But everybody is welcome!",European Politics
183,[],Enjoy your time on this instance !,5b387d8685b9b91570c52736,"['en', 'fr']",tooting.ch,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","Swiss based Mastodon instance, funded and maintained by fairsocialnet.ch 
Instance Suisse de Mastodon, financé et maintenu par fairsocialnet.ch ",
184,"['art', 'books', 'sports', 'tech']",rthome.me is a Mastodon instance. It powers the social network in rtHome App,5b453949fa6236722f7629fe,"['en', 'vi']",rthome.me,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",rthome.me is a Mastodon instance. It powers the social network in rtHome App,
185,[],"Mastodon.NZ is a friendly and safe place for people from Aotearoa/New Zealand to share their thoughts, images and videos. Like Facebook and Twitter, but without the bad stuff - no ads, no tracking or selling your data, no Russian bots or bullies.

We're small enough that kiwi humans moderate our content and handle problems. But we're big too - because we're federated with thousands of other Mastodon instances, you can follow (and be followed) by millions of people around the globe.

Because it's New Zealand-based, toots on the local and federated timeline will be more relevant to kiwis. And they'll make more sense because of our shared culture and values - people won't think you're agreeing when you say ""yeah right"". 

Being local also means a code of conduct aligned with New Zealand values. We're aiming for a safe and civil environment, and you should never see the toxic behaviour that Facebook and Twitter allow.
",5b7cebc48ed53d2963b828f8,"['en', 'mi']",mastodon.nz,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']",Mastodon for Kiwis,Aotearoa/New Zealand
186,"['adult', 'humor', 'lgbt', 'tech']",General-purpose inclusive community for Russian-speaking and other users.,5b851f4fe80ab079b280c172,"['en', 'ru']",embracing.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",General-purpose inclusive community for Russian-speaking and other users.,
187,"['activism', 'anime', 'games', 'lgbt', 'tech']",Anime is great.,58e5ed923d4b8079cf520ba0,['en'],social.homunyan.com,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising', 'spoilers_nocw']",General purpose social network with a focus on anime and socialism.,
188,['tech'],"A small friendly instance on the fediverse. Invitations available from tbr@society.oftrolls.com

Mild trolling between participants and friends for fun.",58fa33c93765484c460d7312,"['en', 'de', 'pl']",society.oftrolls.com,"['spam', 'advertising']",A small friendly instance on the fediverse. Mild trolling between participants for fun.,
189,"['academia', 'activism', 'journalism', 'tech']"," """"We can't engage as communities, unless we have money. I can't even express how angry this makes me.""""
- an activist group using Facebook. People and organisations who feel this way are our initial targets.

We are launching two new Mastodon instances for activists and campaigners to aid communication of grassroot groups; putting social media back in our hands by providing a free, unfettered home for campaigners, NGO’s and activists to communicate among their peers and beyond.

This project is a way out of the restricted, algorithmic, for-profit mediation and commercialisation of communication we increasingly experience. If you do not pay to ""boost"" each post, a Facebook page will only reach 3-6% of members. This soon becomes an expensive drain on limited NGO and activist budgets.
Activists and campaigners alike are ready to shift their outreach away from the corporate social networks paid-per-view “walled gardens”.

Mastodon is the worlds largest free open source decentralised microblogging network; it’s thousands of unique, interconnected communities, filled with different people, interests, languages, and needs.
You’re free to join any community you like, or better yet, host your own, on your own terms. It remains possible for members of each to instance to interact with others.
There is no monopoly by a single commercial company, no ads, and no tracking.

We aim to help activism/campaigning groups to make this step now.
https://campaign.openworlds.info
https://activism.openworlds.info",5a29a601cffadb54f9fffd6f,['en'],campaign.openworlds.info,"['nudity_nocw', 'pornography_all', 'spam', 'advertising']",Its a safe space for Campaigning and NGO groups to access the #openweb Founded on #4opens and moderated by an ethical code of conduct. ,Campaigning and NGO groups working for a better world
190,[],"Petites Singularités vous invite, en direct de Bruxelles, à l'éveil d'un mastodonte... Live from Brussels! Live vanuit Brussel!

This instance is provided by Petites Singularités ASBL for like-minded people in Brussels and elsewhere. P.S.: works with free software and grassroots activists across disciplines, ranging from agro-ecology to cartography, libre aesthetics & ethics, (self-)organization & policy.",5a60f55946fe0471227f1188,"['nl', 'en', 'fr']",ps.s10y.eu,"['pornography_nocw', 'spam']",Une fois pour TOOT ! A Mastodon in Brussels.,
191,[],"A mastodon instance for people who believe everyone has the right to speak their mind (not necessarily meaning everyone will be listened to), the majority deciding what the minority is allowed to say is just awful, and once the oppressed comes to power they often decide to oppress their oppressors causing an infinite loop of censorship. Come join us and be allowed to speak your mind without fear of harm, or being silenced.",5a830a1ab0dc0f6e0defef02,"['en', 'eo']",freespeech.firedragonstudios.com,[],A mastodon instance for people who believe everyone has the right to speak their mind (not necessarily meaning everyone will be listened to),
192,"['activism', 'books', 'journalism', 'tech']"," This instance does not tolerate the following kinds of content:

    Advertising
    Fake news
    Unscientific religious propaganda

In addition to the above rules, we also incorporate the good collection of rules from mastodon.social. ",5af6e9afdb4cc9363ece0b13,"['en', 'te']",social.masto.host,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",A social networking site respecting its users' freedom and privacy.,
193,"['activism', 'adult', 'lgbt']","Crying babies, mostly.",5b42128385b9b91570c5277b,"['en', 'fr', 'de', 'pt', 'es']",ouin.land,"['nudity_nocw', 'pornography_nocw']","Crying babies, mostly.",ouin
194,"['anime', 'art', 'books', 'games', 'tech']","boop.town is a safe and community-oriented Mastodon instance focused around streaming, gaming, and community. We welcome all people however!",5b7a448a8ec14f538470594f,['en'],boop.town,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']","A streaming and gaming focused Mastodon instance, with a heavy emphasis on community and safe, upbeat content.",Streaming & Gaming
195,[],"=== Charte & Manifeste
roflcopter.fr adhère à la charte et manifeste des CHATONS.

=== Infrastructure
Les services de roflcopter.fr sont hébergés en France sur plusieurs serveurs dédiés loués chez Online.net.
Nous utilisons exclusivement que des logiciels open-source.
Les données hébergées sont stockées sur un support chiffré et sauvegardé :
- via un système de réplication temps rééel (DRBD)
- de façon quotidienne et incrémentielle, le tout exporté sur un serveur hébergé chez OVH

== Utilisation des services
* L’utilisation des services se fait à vos propres risques. Ils sont fournis tel quel.
* Vous êtes responsable de la sécurité de votre compte et de votre mot de passe.
* roflcopter.fr ne peut pas et ne sera pas responsable de toutes pertes ou dommages résultant de votre non-respect de cette obligation de sécurité.
* Vous êtes responsable de tout contenu affiché et de l’activité qui se produit sous votre compte.
* Vous ne pouvez pas utiliser le service à des fins illégales ou non autorisées.
* Vous ne devez pas transgresser les lois de votre pays.
* Vous ne pouvez pas envoyer, télécharger, publier sur un site ou blog, distribuer, diffuser tout contenu illégal, diffamatoire, harcelant, abusif, frauduleux, contrefait, obscène ou autrement répréhensible.
* Vous ne pouvez pas vendre, échanger, revendre, ou exploiter dans un but commercial non autorisé un compte du service utilisé.
* roflcopter.fr se réserve le droit, à tout moment de modifier ou d’interrompre, temporairement ou définitivement, le service avec ou sans préavis.
* roflcopter.fr ne sera pas responsable envers vous ou tout tiers pour toute modification, suspension ou interruption du service.",58e4e78b70607d2ad8fbcd40,"['en', 'fr', 'ja']",mastodon.roflcopter.fr,"['pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","Instance gérée par roflcopter.fr membre du collectif C.H.A.T.O.N.S.
--
This instance is managed by roflcopter.fr team.
Proud member of C.H.A.T.O.N.S.",
196,"['academia', 'activism', 'journalism', 'tech']","""We can't engage as communities, unless we have money. I can't even express how angry this makes me."" 
- an activist group using Facebook. People and organisations who feel this way are our initial targets.

We are launching two new Mastodon instances for activists and campaigners to aid communication of grassroot groups; putting social media back in our hands by providing a free, unfettered home for campaigners, NGO’s and activists to communicate among their peers and beyond.

This project is a way out of the restricted, algorithmic, for-profit mediation and commercialisation of communication we increasingly experience. If you do not pay to ""boost"" each post, a Facebook page will only reach 3-6% of members. This soon becomes an expensive drain on limited NGO and activist budgets. 
Activists and campaigners alike are ready to shift their outreach away from the corporate social networks paid-per-view “walled gardens”.

Mastodon is the worlds largest free open source decentralised microblogging network; it’s thousands of unique, interconnected communities, filled with different people, interests, languages, and needs. 
You’re free to join any community you like, or better yet, host your own, on your own terms. It remains possible for members of each to instance to interact with others. 
There is no monopoly by a single commercial company, no ads, and no tracking.

We aim to help activism/campaigning groups to make this step now.

https://campaign.openworlds.info 
https://activism.openworlds.info",5a77c1ef847f4a0952519217,['en'],activism.openworlds.info,"['nudity_nocw', 'pornography_nocw', 'spam', 'advertising']","Its an unfettered space for Activists. Founded on #4opens, motivated by the #PGA hallmarks and moderated by an ethical code of conduct. ", Its an unfettered space for Activists and groups to communicate via #openweb projects.
197,['art'],"L.P is a place for movie lovers, and our rules reflect that. The short of it is this; don't be an asshole, use content warnings liberally (this includes spoilers, gore, sex, nudity, etc, but also workaday stuff like politics, mental health, and multi-toot posts), and for the love of God, be kind. If you can't do that, we'll have no choice but to bust out the banhammer. And if you think asking you to put sensitive content behind a CW is encroaching on your free speech, well, tough shit. Also, and I say this emphatically, if you're a Nazi, a bigot or otherwise a hate-peddler? Take a hike. We don't need or want you here. If you have any questions problems (harassment troubles, clarifications, movie recs) get a hold of Derek. He'll help you out. Enjoy your stay!",5ac6efb6fde0264e9d17adc4,['en'],laserdisc.party,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","We're a a movie-flavoured general instance geared towards cinephiles, movie buffs, or anyone who has a passing interest in film.","general, movies, film"
198,"['academia', 'tech']","Goal: Make idf.social a viable and valuable social space for anyone working in Information Retrieval and related scientific research.

Everyone welcome but expect some level of geekiness on the instance and federated timelines.",5ad849b6ef5dd72e9d37e083,['en'],idf.social,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']","The ""unofficial"" Information Retrieval Mastodon Instance.",Information Retrieval
199,['tech'],"Das TheVillage Chat-Netzwerk ist ein Zusammenschluss aus mehreren Telegram Gruppen mit verschiedenen Themen. Die einzelnen Gruppen werden mit ihren Themen auf thevillage.chat aufgelistet. Es ist jeder willkommen ein Bewohner unseres Dorfs zu werden :)
<br><br>
Bitte behandelt andere hier so, wie ihr von anderen behandelt werden wollt.",5b82f9e2e80ab079b280c15e,"['en', 'de']",social.thevillage.chat,[],Mastodon Instanz des TheVillage Telegram Chat Netzwerkes.,"TheVillage, Telegram, Tech, Everything you want to talk about that is not against the german law"
200,['tech'],"ffm.social is a server for folks who live in (or near) Frankfurt am Main 🏙, Germany. Registration is currently closed, contact a member of the server for an invite.",5b8cec8b84f4f12e01e8ef12,"['en', 'de']",ffm.social,[],"ffm.social is a server for folks who live in (or near) Frankfurt am Main 🏙, Germany. Registration is currently closed, contact a member of the server",
201,"['activism', 'humor', 'music', 'tech']",A federation for technologically apt technophobes,5b8f1fad36205a4e89370d03,['en'],nihilist.space,"['spam', 'advertising']",The first and only spookless mastodon federation.,
202,"['academia', 'anime', 'art', 'books', 'games', 'humor', 'journalism', 'music', 'poc', 'sports', 'tech']","mastodontech.de ist eine Mastodon Instanz offen für alle Leute (über 16) und wird betrieben von Markus'Blog. Es gibt Regeln, die Ihr Euch vor der Anmeldung durchlesen solltet, damit Ihr ""gut miteinander umgeht"" :-) 

mastodontech.de is a Mastodon instance open to all people (over 16) and is managed by Markus'Blog. There are rules that you should read before signing up, so that you ""be excellent to each other"" :-)",5b8f9c0436205a4e89370d09,"['en', 'fr', 'de']",mastodontech.de,"['nudity_nocw', 'nudity_all', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",mastodontech.de is a Mastodon instance open to all people (over 16) and is managed by Markus'Blog. There are rules that you should read before signing,Tech
203,"['anime', 'games']","Scramble City is a small, friendly Mastodon instance for people with an interest in Transformers, super robots, mecha and related subjects. Not every toot has to be about robots, though! It’s mainly just a place to be social, and registration is open to everyone.",5ba264000253056367082498,['en'],scramble.city,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam']","A small, friendly Mastodon instance for Transformers fans.",Transformers
204,[],"Follow @status for status updates, planned downtimes, etc.

There are no restrictions of content on this instance, however, to keep it pleasant to everyone here are a few rules, which will be completed over time: racist, sexist, homophobic, etc. messages are prohibited and parodic accounts are accepted but must mention they are parodic in their description

Any user not respecting these rules may get silenced or suspended. Also remember you have the ability to report users if they don't respect these rules.

[Adapted from mastodon.xyz terms]",58e2829598f240743efe1c79,"['en', 'fr']",social.tcit.fr,"['pornography_nocw', 'sexism', 'racism', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",A small instance for people who use Free Software and are nice to other people.,
205,"['anime', 'art', 'books', 'furry', 'games', 'lgbt', 'music', 'poc', 'tech']",We are a safe space instance doing cool stuff on the internet. koyu.space is a small community emerged somewhere in 2013 and since then we have a bunch of members. Our Discord server is available at https://discord.gg/gsDvYf2 if you want to have a talk with us.,5ac4cb58df4d1d0245d26b43,"['en', 'de']",koyu.space,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising', 'spoilers_nocw']",koyu.space is a safe space community emerged in late 2013 and this is their latest project made on April 4th 2018,
206,['activism'],"A Fediverse home to libertarians, classical liberals, right-of-center thinkers, gun owners, privacy and due process advocates, rugged individualists, and those believing that American Exceptionalism isn't about a country or place but is rather an ideal.",5adb5f0c71a07e275ed9dada,['en'],roughseas.xyz,"['pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam']","""Timid men prefer the calm of despotism to the tempestuous sea of Liberty."" -- Thomas Jefferson",
207,"['activism', 'journalism', 'tech']","- Be friendly and patient
- Racist, sexist, homophobic, etc. messages are prohibited
- Being respectful of everything that is different
- No public and private harassment
- We will exclude you from this interaction if you insult, demean or harass anyone.",5b7a88d5a6abe47c06ef895b,"['en', 'de', 'pt']",mastodon.earth,[],mastodon.earth is an instance on the world's greatest planet on earth,
208,"['academia', 'activism', 'adult', 'anime', 'art', 'books', 'furry', 'games', 'humor', 'lgbt', 'music', 'poc']","Red Room refers to both an organization in the upcoming comic project An Ember Turned Flame as well as the infamous Red Room featured in the TV series Twin Peaks.

The Red Room does not permit any sort of homophobia, transphobia, misogyny, ableism, racism or any other sort of bigotry.

Harassment and dog-piling are also strictly prohibited. There are no second chances; first strike is a permaban.

NSFW and otherwise sensitive content are allowed, and are always flagged with a content warning. No exceptions.",5bb521ed02530563670824f4,['en'],redroo.ml,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","A small, private instance geared toward artists and creatives.

Better red than dead.",
209,"['games', 'tech']","We're a small invite-only instance for Transneptunians and friends. We like games, learning, social justice, computers, cooking, and stories. We try to make the world a little better each day.",58ec781cdcd4660abedbf37a,['en'],mastodon.transneptune.net,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","We like games, learning, social justice, computers, cooking, and stories. We try to make the world a little better each day.",
210,[],"A mastodon instance running on a set of Raspberry Pis. This is mostly for me, but some friends have accounts here. I federate with https://awoo.space and have a short instance blacklist",59bee876e760bf4183ed165c,['en'],asonix.dog,"['nudity_nocw', 'pornography_nocw', 'sexism', 'racism', 'illegalContentLinks', 'spam', 'advertising', 'hateSpeeches', 'harrassment']",An instance for asonix and friends. If you want an account here PM https://asonix.dog/@asonix,"furry,"
211,"['activism', 'journalism', 'sports', 'tech']","A sub-project of the BuffaloMesh.net project, this instance will be guaranteed to be accessible via the Meshnet in Buffalo, NY.  Not available to EU residents.",5a21a3678f84ee0616d03223,['en'],social.buffalomesh.net,"['nudity_nocw', 'pornography_nocw', 'illegalContentLinks', 'spam', 'advertising']","Mastodon for WNY residents, but welcome to all","WNY, Wings, Snow, Peanut Donuts, Chicken Wings, Buffalo Bills, Buffalo Sabres, and all things related"
212,[],"Makerdon is a Mastodon instance focused on Makers, Open Source Hardware (OSHW) and STEM/STEAM. Free and Open Source Software (FOSS) is a likely topic as well. If you're interested in making things, allowing others to build on your work, and/or teaching others about making things, you might like this instance.",5a5a87b8a2ffb731df7a4169,['en'],makerdon.org,"['nudity_nocw', 'pornography_nocw', 'pornography_all', 'illegalContentLinks', 'spam', 'advertising']","Focused on Makers, Open Source Hardware (OSHW), Free and Open Source Software (FOSS) and STEM/STEAM",makers
